Symbol,Name,Last Sale,Market Cap,Volume,Sector,Industry
MTOR,Meritor Inc. Common Stock,$27.91,2018217230,339829,Capital Goods,Auto Parts:O.E.M.
MTRN,Materion Corporation,$63.72,1295252625,49716,Capital Goods,Industrial Specialties
MTRX,Matrix Service Company Common Stock,$11.02,291685967,352590,Basic Industries,Engineering & Construction
MTSC,MTS Systems Corporation Common Stock,$58.16,1123315384,169493,Capital Goods,Industrial Machinery/Components
MTSI,MACOM Technology Solutions Holdings Inc. Common Stock,$55.04,3740609932,390130,Technology,Semiconductors
MTT,Western Asset Municipal Defined Opportunity Trust Inc Common Stock,$20.82,254013057,29616,,
MTW,Manitowoc Company Inc. (The) Common Stock,$13.31,459975072,153303,Capital Goods,Construction/Ag Equipment/Trucks
MTX,Minerals Technologies Inc. Common Stock,$62.12,2111709019,118109,Basic Industries,Major Chemicals
MTZ,MasTec Inc. Common Stock,$68.18,5036248446,484687,Basic Industries,Water Supply
MU,Micron Technology Inc. Common Stock,$75.18,83969196141,23214527,Technology,Semiconductors
MUA,Blackrock MuniAssets Fund Inc Common Stock,$14.68,530106368,68886,,
MUC,Blackrock MuniHoldings California Quality Fund Inc.  Common Stock,$15.00,615037245,90857,,
MUE,Blackrock MuniHoldings Quality Fund II Inc. Common Stock,$13.65,307408360,73613,,
MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock,$4.43,56899975036,733458,Finance,Commercial Banks
MUH,Blackrock MuniHoldings Fund II Inc. Common Stock,$15.09,171064495,36729,,
MUI,Blackrock Muni Intermediate Duration Fund Inc Common Stock,$14.87,569465475,41088,,
MUJ,Blackrock MuniHoldings New Jersey Quality Fund Inc. Common Stock,$14.46,435060464,73952,,
MUR,Murphy Oil Corporation Common Stock,$12.10,1858543363,2638350,Energy,Oil & Gas Production
MUS,Blackrock MuniHoldings Quality Fund Inc Common Stock,$13.22,172101609,29695,,
MUSA,Murphy USA Inc. Common Stock,$130.87,3818476569,233191,Consumer Durables,Automotive Aftermarket
MVBF,MVB Financial Corp. Common Stock,$22.68,255288552,39700,Finance,Major Banks
MVF,Blackrock MuniVest Fund Inc. Common Stock,$9.19,595846249,148955,,
MVIS,MicroVision Inc. Common Stock,$5.38,787663796,20479067,Capital Goods,Industrial Machinery/Components
MVT,Blackrock MuniVest Fund II Inc.  Common Stock,$14.86,317110543,38127,,
MWA,MUELLER WATER PRODUCTS Common Stock,$12.38,1959947438,630150,Capital Goods,Metal Fabrications
MWK,Mohawk Group Holdings Inc. Common Stock,$17.21,450062255,536873,Consumer Durables,Home Furnishings
MX,MagnaChip Semiconductor Corporation Depositary Shares each representing one share of common stock,$13.52,480480182,200819,Technology,Semiconductors
MXF,Mexico Fund Inc. (The) Common Stock,$13.66,204971360,10398,,
MXIM,Maxim Integrated Products Inc. Common Stock,$88.65,23696250937,1350000,Technology,Semiconductors
MXL,MaxLinear Inc. Common Stock,$38.19,2832494480,349176,Technology,Semiconductors
MYC,Blackrock MuniYield California Fund Inc. Common Stock,$14.79,316794316,43721,,
MYD,Blackrock MuniYield Fund Inc.  Common Stock,$14.35,673297623,90681,,
MYE,Myers Industries Inc. Common Stock,$20.78,744445142,143766,Consumer Non-Durables,Plastic Products
MYF,Blackrock MuniYield Investment Fund Common Stock,$13.98,191721049,42364,,
MYFW,First Western Financial Inc. Common Stock,$19.57,155615728,4616,Finance,Major Banks
MYGN,Myriad Genetics Inc. Common Stock,$19.78,1487287242,675817,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
MYI,Blackrock MuniYield Quality Fund III Inc Common Stock,$14.45,984777340,168908,,
MYJ,Blackrock MuniYield New Jersey Fund Inc Common Stock,$14.45,349084617,91762,,
MYN,Blackrock MuniYield New York Quality Fund Inc.Common Stock,$13.29,526105701,75580,,
MYOV,Myovant Sciences Ltd. Common Shares,$27.62,2502195536,1132413,Health Care,Major Pharmaceuticals
MYRG,MYR Group Inc. Common Stock,$60.10,1005299672,81084,Basic Industries,Water Supply
